Row_Number,Gender,Location,Time,Race,Time_Spent_Homeless,Method_Found,Eligible,Preffered_Acommodation,Accepted_Acommodation
337,Female,Balsall Heath,2PM,European,Less than a month,Online,1,1,1
338,Male,Balsall Heath,4PM,European,1-3 Months,Phone,1,1,1
339,Female,Sparkbrook,12PM,White,More than 1 year,Phone,1,0,1
340,Female,Small Heath,10AM,Pakistani,4-6 Months,Themselves,0,1,0
341,Male,Balsall Heath,12PM,Pakistani,1-3 Months,Online,1,1,1
342,Male,Other,2PM,White,7-12 months,Friend,1,1,1
343,Male,Sparkbrook,4PM,White,7-12 months,Online,1,1,1
344,Female,Erdington,10AM,Other,Less than a month,Friend,1,0,1
345,Female,Stechford,2PM,European,4-6 Months,Referral,1,0,1
346,Male,Bordesley Green,12PM,European,1-3 Months,Phone,0,0,0
347,Male,Bordesley Green,4PM,Other,Less than a month,Phone,0,0,0
348,Female,Small Heath,12PM,Black,1-3 Months,Referral,1,1,1
349,Female,Digbeth,12PM,Black,4-6 Months,Friend,1,1,1
350,Male,Stechford,4PM,Indian,Less than a month,Phone,1,1,1
351,Male,Balsall Heath,2PM,Bangladeshi,4-6 Months,Referral,1,0,0
352,Male,Sparkhill,10AM,Black,1-3 Months,Referral,1,1,1
353,Male,Kings Norton,10AM,European,Less than a month,Online,0,0,0
354,Female,Acocks Green,2PM,Black,1-3 Months,Phone,1,0,1
355,Male,Acocks Green,4PM,Black,Less than a month,Friend,0,1,0
356,Female,Sparkbrook,4PM,White,4-6 Months,Friend,1,1,1
357,Male,Sparkhill,4PM,Indian,Less than a month,Phone,1,0,1
358,Male,Sparkbrook,12PM,European,4-6 Months,Friend,1,1,1
359,Male,Erdington,10AM,Black,4-6 Months,Referral,0,0,0
360,Male,Stechford,2PM,Bangladeshi,Less than a month,Phone,1,1,1
361,Male,Bordesley Green,10AM,Pakistani,4-6 Months,Phone,0,0,0
362,Female,Balsall Heath,2PM,Black,1-3 Months,Referral,1,1,1
363,Female,Sparkbrook,2PM,White,1-3 Months,Phone,1,1,1
364,Male,Digbeth,2PM,Pakistani,Less than a month,Referral,1,1,1
